Location,Code,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Total
United States,US,191757100,38872200,59102900,18007200,2125700,528200,8856100,319249300
Alabama,AL,3117200,1263500,211700,65200,18800,,89200,4767100
Alaska,AK,421100,15200,48900,42000,106000,10400,58200,701700
Arizona,AZ,3843700,306600,2254800,231000,276100,12500,173400,7098000
Arkansas,AR,2108400,444200,226800,45500,16700,10800,70100,2922500
California,CA,14047400,2066300,15271400,5691100,138800,137000,1290700,38642700
Colorado,CO,3804100,211100,1221900,180300,29400,6200,158700,5611800
Connecticut,CT,2268200,346400,583300,158600,5600,,90100,3453300
Delaware,DE,577700,205100,91100,36900,3000,,26300,940300
District of Columbia,DC,246100,302400,75200,25200,1800,,20500,671300
Florida,FL,11119200,3150100,5583900,573500,39900,12200,513300,20992000
Georgia,GA,5354500,3225900,1011800,422400,19700,5800,253900,10294000
Hawaii,HI,274400,16400,137900,528600,1600,136900,247200,1343000
Idaho,ID,1429500,11500,225600,21600,15900,,44800,1750900
Illinois,IL,7522700,1679900,2177500,695500,11300,3000,272500,12362300
Indiana,IN,5116000,600500,471000,158800,12300,,151300,6511800
Iowa,IA,2610600,119200,191600,71600,8800,1000,57400,3060200
Kansas,KS,2128700,153300,341900,79900,17500,,89100,2811200
Kentucky,KY,3648500,344900,160800,70400,4900,,87500,4319300
Louisiana,LA,2643900,1433000,235800,76600,21600,,86900,4498600
Maine,ME,1213500,17800,21900,14500,9700,,24600,1302300
Maryland,MD,2934100,1741500,624500,373300,12400,,188100,5875500
Massachusetts,MA,4687000,466200,824100,448000,12000,2600,210800,6650800
Michigan,MI,7316400,1305100,514600,315900,47100,,264900,9765600
Minnesota,MN,4361600,353700,307300,272500,50900,,165900,5514800
Mississippi,MS,1622400,1078300,85900,28600,11000,,40700,2867100
Missouri,MO,4715000,667100,253900,122500,21200,8200,152000,5939900
Montana,MT,895200,5900,38300,7900,62900,,28700,1039400
Nebraska,NE,1470900,89200,212200,45200,14800,,40200,1873600
Nevada,NV,1448800,279000,888400,257500,26700,17500,111900,3029700
New Hampshire,NH,1179700,17600,51500,34800,,,27600,1314000
New Jersey,NJ,4738500,1081400,1822900,836400,8800,,209000,8699400
New Mexico,NM,750000,35000,1010200,32900,176600,,36000,2041400
New York,NY,10432200,2651600,3649800,1625500,39100,,507900,18908300
North Carolina,NC,6355400,2124200,987900,294400,112600,4800,260600,10139700
North Dakota,ND,614600,17900,29400,10400,38000,,19100,731000
Ohio,OH,8918300,1380000,452300,260500,15800,,321400,11351500
Oklahoma,OK,2488200,262800,424600,78900,295000,4600,272800,3826900
Oregon,OR,3097700,72900,553400,192000,38900,10900,163100,4128900
Pennsylvania,PA,9401500,1282000,960500,438000,14200,2300,279200,12377600
Rhode Island,RI,717300,60300,169100,34000,2300,,33900,1017100
South Carolina,SC,3177000,1307200,285200,84100,14300,,108300,4984200
South Dakota,SD,697500,18800,31400,11000,71500,,20500,851300
Tennessee,TN,4884500,1088500,378900,120600,17200,,148700,6640900
Texas,TX,11637100,3297200,11300500,1409700,76800,19000,545800,28286200
Utah,UT,2452300,32600,455000,72800,31100,25800,84400,3154100
Vermont,VT,555100,6700,10600,9700,4000,,11900,598100
Virginia,VA,5017100,1543100,787100,551900,13600,3900,268300,8185100
Washington,WA,5013200,282700,964700,662400,82400,47400,371100,7423900
West Virginia,WV,1609000,55900,24800,14200,3900,,31200,1739000
Wisconsin,WI,4602500,349200,401700,169100,37400,,114100,5677100
Wyoming,WY,471600,5400,57100,3400,12300,,12000,562700
Puerto Rico,PR,42600,3100,3106600,,,,9100,3164500
